"campus","method","survey_year","site","latitude","longitude","MPA_Name","mpa_type","site_status"
"UCSC","SBTL_UPC_PISCO",2008,"OTTER_PT_DC",36.636484,-121.921162,"Lovers Point - Julia Platt SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"OTTER_PT_UC",36.634633,-121.918929,"Lovers Point - Julia Platt SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"TERRACE_DC",36.944871,-122.064289,"Natural Bridges SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"TERRACE_UC",36.944908,-122.066281,"Natural Bridges SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"ASILOMAR_DC",36.632245,-121.946677,"Asilomar SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"ASILOMAR_UC",36.636512,-121.945589,"Asilomar SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"SANDHILL_DC",36.97293,-122.149429,"Natural Bridges SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"SANDHILL_UC",36.974306,-122.152109,"Natural Bridges SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"BIRD_ROCK",36.59343,-121.97135,"Asilomar SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"CHINA_ROCK",36.598436,-121.972419,"Asilomar SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"CYPRESS_PT_DC",36.579645,-121.982468,"Carmel Bay SMCA","SMCA","reference"
"UCSC","SBTL_UPC_PISCO",2008,"CYPRESS_PT_UC",36.585774,-121.980331,"Asilomar SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"CANNERY_DC",36.614953,-121.896037,"Lovers Point - Julia Platt SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"CANNERY_UC",36.612639,-121.894574,"Lovers Point - Julia Platt SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"MACABEE_DC",36.618184,-121.896835,"Lovers Point - Julia Platt SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"MACABEE_UC",36.617148,-121.895695,"Lovers Point - Julia Platt SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"MONASTERY_DC",36.525415,-121.933322,"Point Lobos SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"MONASTERY_UC",36.525267,-121.930507,"Point Lobos SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"SPROUTS",36.946942,-122.073159,"Natural Bridges SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"THREE_MILE",36.957757,-122.120067,"Natural Bridges SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"BUTTERFLY_DC",36.537439,-121.93567,"Carmel Bay SMCA","SMCA","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"BUTTERFLY_UC",36.539655,-121.936297,"Carmel Bay SMCA","SMCA","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"SABER_JETS",36.948018,-122.034035,"Natural Bridges SMR","SMR","reference"
